Swift,type,Fermi,type
GRB090531B,L,GRB090531775,S
GRB090927,L,GRB090927422,S
GRB130716A,L,GRB130716442,S
GRB131004A,L,GRB131004904,S
GRB140209A,S,GRB140209313,L
GRB140320A,S,GRB140320092,L
GRB141205A,L,GRB141205337,S
GRB150120A,L,GRB150120123,S
GRB170318B,S,GRB170318644,L
