Swift,type,Fermi,type
GRB090510,L,GRB090510016,S
GRB090531B,L,GRB090531775,S
GRB090927,L,GRB090927422,S
GRB100724A,S,GRB100724029,L
GRB130716A,L,GRB130716442,S
GRB131004A,L,GRB131004904,S
GRB131128A,L,GRB131128629,S
GRB140209A,L,GRB140209313,S
GRB140320A,S,GRB140320092,L
GRB141205A,L,GRB141205337,S
GRB150120A,S,GRB150120123,L
GRB170318B,S,GRB170318644,L
